id,texto,perfil,criado_em
1355470880743305216,RT @jdoriajr: Governo de SP inicia a vacinação dos idosos com mais de 85 anos. No site https://t.co/Ouup4KL29w é possível fazer o pré-cadas…,RenestoM,2021-01-30 11:00:16
1355468753631404032,"RT @jdoriajr: A partir do dia 8 de fevereiro, vamos dar início à imunização dos idosos com mais de 85 anos no Estado de São Paulo. Serão va…",sgpcuca,2021-01-30 10:51:48
1355467772684357645,RT @PatriciaEllenBr: Nova etapa do plano Estadual de Imunização de São Paulo acaba de ser anunciada @governosp @butantanoficial #vacinajá h…,DelsonbpvGore,2021-01-30 10:47:55
1355465871846735875,"RT @randolfeap: VENCEMOS! A vida NÃO PODE ESPERAR! Graças à nossa pressão, consolidada inclusive através de nossa ação no STF, o Governo ir…",msalmeida74,2021-01-30 10:40:21
1355465739029897217,A contribuição brasileira para extinção da espécie. #VacinaParaTodos #VacinaJa #ForaBolsonaroGenocida #ImpeachmentDeBolsonaroUrgente https://t.co/BCG1uvqByx,melomairla,2021-01-30 10:39:50
1355464560111714311,RT @jdoriajr: Governo de SP inicia a vacinação dos idosos com mais de 85 anos. No site https://t.co/Ouup4KL29w é possível fazer o pré-cadas…,DelsonbpvGore,2021-01-30 10:35:09
1355463581425348609,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",alephar,2021-01-30 10:31:15
1355458603902238720,RT @gilvomar: @randolfeap @butantanoficial #VacinaJá! #ObrigadogovernadorDória!,gilvomar,2021-01-30 10:11:29
1355457806279847942,"RT @jdoriajr: A partir do dia 8 de fevereiro, vamos dar início à imunização dos idosos com mais de 85 anos no Estado de São Paulo. Serão va…",claudiapires31,2021-01-30 10:08:18
1355457075841740802,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",Elisa57664978,2021-01-30 10:05:24
1355457075791482882,RT @luizmuller: Começando a concentração #VacinaJa . Daqui a pouco tem caminhada em Porto Alegre. #DevolvamOsDireitosDoLula https://t.co/cK…,DoOlhando,2021-01-30 10:05:24
1355456918207262720,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",RCF670,2021-01-30 10:04:47
