id;created_at;text;retweet_count;favorite_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336778117826965505;2020-12-09 21:01:54;- O TCU autorizou a concessão de projetos do @MInfraestrutura : 22 aeroportos da 6ª rodada,que serão concedidos em três blocos. Divididos em três blocos,serão leiloados aeroportos das regiões Sul,Norte e Centro-Oeste. @tarcisiogdf https://t.co/aAOCKLSJbU;2218;17273,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336641716863066119;2020-12-09 11:59:53;(Continuando) - Também diminuiu os impostos em relação aos games e brinquedos entre outros. - O Brasil unido,com a ajuda de todos os responsáveis,podemos ir longe! @jairbolsonaro;1044;10885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336641489347207170;2020-12-09 11:58:59;- O @govbr zerou impostos de importação de 509 produtos para o combate ao covid-19,produtos que combatem o câncer,HIV,equipamentos de energia solar e produção médica,exames,cirurgias oftalmológicas,informática,arroz,soja e milho. Mais continuam em estudo.;1618;12513,,,,,,,,,,,,,,,,,,,,,,
1336635284629434368;2020-12-09 11:34:19;- A CAMEX editou resolução zerando a Alíquota do Imposto de Importação de Armas (revólveres e pistolas). - A medida entra em vigor no dia 1º de janeiro de 2021. https://t.co/ly0YVSb1uM;4226;37141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336416466539778048;2020-12-08 21:04:49;- O Brasil disponibilizará vacinas de forma gratuita e voluntária após COMPROVADA EFICÁCIA E REGISTRO NA ANVISA. Vamos proteger a população respeitando sua liberdade,e não usá-la para fins políticos,colocando sua saúde em risco por conta de projetos pessoais de poder.;11932;78794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336360001703718912;2020-12-08 17:20:27;- Hoje,todo o Brasil produz 320 mil toneladas/ano. O potencial,somente de Itaipu,é de 400 mil ton/ano.;844;7672,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336359901652799489;2020-12-08 17:20:03;- @govbr e Paraguai avançam na viabilização de cultivo de tilápia no lago de Itaipu.- O Brasil possui 73 lagos de hidrelétricas sob administração federal que podem servir para o cultivo de até 3,9 milhões/ton/ano. - Secretário Nacional de Pesca e Aquicultura,@jorgeseif https://t.co/yHZlU9khHo;2352;18530,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336257372138975232;2020-12-08 10:32:38;RT @CarlosBolsonaro: Mais atualizações do @govbr @jairbolsonaro na última semana:1. Mais de 306,8 milhões de EPIs distribuídos para estad…;2394;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336077089544482816;2020-12-07 22:36:15;- Associação Brasileira de Psiquiatria. Link: https://t.co/Lre6YUSYrZ https://t.co/D9MTXaJGdu;3625;19072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336051853063299078;2020-12-07 20:55:59;- Em havendo certificação da @anvisa_oficial (orientações científicas e preceitos legais) o @govbr ofertará a vacina a todos,gratuita e não obrigatória.- Segundo o @MinEconomia não faltarão recursos para que todos sejam atendidos.- Saúde e Economia de mãos dadas pela vida. https://t.co/l1JmtnBkRI;5605;36245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335706611877339138;2020-12-06 22:04:07;- Depois de 56 anos revi minha Professora Tutu (atualmente com 100 anos),que ainda mora em Jundiaí/SP.- Conversei com sua filha que também estudou no Grupo Escolar Coronel Siqueira de Moraes.- Muita emoção.. Link no YouTube: https://t.co/ff7hyzldfp https://t.co/k8B8SYlapu;3105;27639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335624560859869184;2020-12-06 16:38:04;RT @tarcisiogdf: Atenção,gaúchos. Tudo pronto para abrirmos o vão central da nova Ponte do Guaíba nesta quinta (10) com a presença do pres…;2882;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335558070362120195;2020-12-06 12:13:52;RT @CarlosBolsonaro: Nos últimos dias,o @govbr  @jairbolsonaro abriu licitação de projeto do Sistema Seridó,que vai abastecer com água ce…;2090;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335514323825856512;2020-12-06 09:20:02;- O verdadeiro alcance do Auxílio Emergencial do @govbr .- Quem fecha o comércio tira o emprego dos mais humildes e o sustento de suas famílias.- Recomendamos todos os cuidados com os mais idosos e com comorbidades.. Link no YouTube: https://t.co/25ZMkPygAl https://t.co/0RnblwTJXa;3609;22366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335208309352239104;2020-12-05 13:04:02;- Tratores elétricos.- Com uma PCH em sua fazenda o agricultor,no futuro,poderá dar adeus aos combustíveis fósseis. - A YAK Tratores Elétricos,de Joinvile,compareceu na Semana Nacional de Ciência e Tecnologia promovida pelo @mctic @Astro_Pontes . https://t.co/pXKNmkvTlO;2558;19571,,,,,,,,,,,,,,,,,,,,,,,,,,
1334920463282286593;2020-12-04 18:00:14;- Academia da Força Aérea (@fab_oficial ).- Pirassununga/SP. https://t.co/Qm5WsixpXx;2093;18254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1334624622826893314;2020-12-03 22:24:40;""⁃Temas: . Trabalho da @policiafederal ;. Investimentos em obras;. Crescimento do turismo;. Energia solar","nuclear e abastecimento;. Ações do @mmeioambiente e @Minas_Energia ;. Grafeno e nióbio;. Crescimento da economia;. Desmentindo mentiras da imprensa;. Covid-19."";862;6125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334619067769106432;2020-12-03 22:02:36;- Live de quinta-feira (03/12/2020). Acompanhe em nosso canal no YouTube: https://t.co/UlcHQi1ZEM;1718;11828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334478665506238467;2020-12-03 12:44:41;RT @casacivilbr: #MeioAmbiente 🌳🇧🇷 | Programa Brasil M.A.I.S permite acesso a imagens de alta resolução para guiar ações de combate ao crim…;651;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334478597843726336;2020-12-03 12:44:25;RT @CarlosBolsonaro: Entregas do @MInfraestrutura em novembro - @portosdobrasil,@aviacaodobrasil,ferrovias e @DNIToficial 06/11: libe…;1041;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334478111069638659;2020-12-03 12:42:29;RT @MInfraestrutura: O @govbr qualificou,na manhã de hj (2),35 projetos de Infra. Entre os ativos estão a Malha Ferroviária Sul,a desest…;436;0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334242044404002819;2020-12-02 21:04:27;- No dia de ontem a @policiafederal localizou e apreendeu 2.460 quilos de cocaína no município de Caxias/RJ.- É a maior apreensão de drogas na história do Rio de Janeiro.- Para melhorar mais esse trabalho,em 2021,serão abertas 2.000 vagas em concurso para a PF. @JusticaGovBR https://t.co/HxAwJwvbbX;3683;27144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334226181726605331;2020-12-02 20:01:25;A @policiafederal e a Secretaria Nacional Antidrogas do Paraguai também prenderam,nesta terça-feira,o traficante paraguaio Pedro César Prieto Galeano,de 39 anos,apontado como fornecedor de armas ilegais da maior facção criminosa do Rio. @JusticaGovBR @AmendoncaMJSP;765;5277,,,,,,,,,,,,,,,,,,,,,,,,,,
1334057526409768962;2020-12-02 08:51:14;- A segunda ponte entre o Brasil e o Paraguai se encontra pronta em 45%.- Em 2019,Itaipu Binacional investiu,só em obras,R$ 800 milhões e,no corrente ano chegará aos R$ 1,4 bilhões.- No passado,os investimentos eram diluídos,quase todos,em ações que não deixavam legado. https://t.co/fH62IuE1xm;3791;26145,,,,,,,,,,,,,,,,,,,,,,
1333834909375492097;2020-12-01 18:06:38;A2. Do total arrecadado com a venda dos bens perdidos para a União,40% é destinado às forças policiais responsáveis pelas apreensões. O outro montante é destinado ao Fundo Nacional Antidrogas (Funad) para investimentos em ações e projetos na área de segurança pública. @govbr;970;6992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333834856028139522;2020-12-01 18:06:25;A1. Cento e sete leilões de bens apreendidos do tráfico de drogas realizados em 2020 (até agora). Ao superar o número de pregões de 2018 e 2019 (7 e 11 leilões respectivamente). @JusticaGovBR @AmendoncaMJSP https://t.co/w0TiOFbFvK;2033;13990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333829624648921093;2020-12-01 17:45:38;RT @Marceloscf2: Esse é apenas o começo,presidente @jairbolsonaro! Somente o CRLV digital,que é o documento do carro (@Denatran),gerou u…;908;0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333801038168559619;2020-12-01 15:52:02;@Marceloscf2 @Denatran 🇧🇷;55;868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333783223072014338;2020-12-01 14:41:15;RT @CarlosBolsonaro: A. O @JusticaGovBr deu início,nesta segunda (30),ao repasse de R$ 755 milhões do Fundo Nacional de Segurança Pública…;1373;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1333714564605734913;2020-12-01 10:08:26;""- Mais uma da CEAGESP desbaratada.- O """"Zé Loco"""" (que estava armado ilegalmente) furtava e também era receptador de caixas","que depois revendia aos usuários.. Link no YouTube: https://t.co/36odCKdfx2 https://t.co/8JBSVp5V7b"";2686;16988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333392639622864899;2020-11-30 12:49:13;@tarcisiogdf 🤝🇧🇷;154;3483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333379843086553090;2020-11-30 11:58:22;O @govbr digitalizou 1.000 serviços  públicos em menos de 2 anos. Mais de R$ 2 bilhões em economia à União e aos brasileiros,incluindo menos burocracia à população. @MinEconomia   @MInfraestrutura;4599;35090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
